,0
60,"Играя на струнах, берем лист картона либо бумаги, прикрываем резонатор"
61,"Лукас наблюдали за тем, какими листьями питаются шимпанзе и другие обезьяны."
62,"Они выбирали обычно молодые листья, нежные, питательные, легко перевариваемые организмом"
63,в лесах Южной Америки молодые листья на деревьях редко имеют красноватый
64,из хост с разной окраской листьев.
65,"Листья зеленые, с сизоватым налетом."
66,"густооблиственными стеблями, мелкими мясистыми, темно-зелеными листьями."
67,"Листья эллиптические, зубчатые."
68,"Листья довольно узкие, зубчатые."
69,"Листья сочные, темно-зеленые."
70,Встречается форма с темно-пурпурными листьями.
71,"Имеет зубчатые листья округло-ромбической формы, темно-зеленого или красно-зеленого"
72,"Листья цилиндрические или удлиненно-шиловидные, серо-зеленые."
73,"Листья продолговатые, темно-зеленые, зубчатые."
74,"Листья остроконечные, сизые."
75,"осень, стояли солнечные деньки, летели листья."
76,так Волк про себя называл листья клёна.
77,"грубыми стеблями, красивыми многократно рассеченными листьями, мелкими цветками, собранными в конечные"
78,смотрятся беловато-зеленые глубоко рассеченные шелковистые листья.
79,во время цветения и прикорневые листья до или в самом начале
80,Его перисто-рассеченные листья отличаются от других полыней тем
81,"отваривают верхушечные побеги вместе с листьями, так как они стимулируют выделение"
82,"полутора метров высотой, с красивыми листьями, голубовато-зелеными сверху, снизу сероватыми перисто-рассеченными"
83,"полынь, для этого ее размятые листья запаривали и прикладывали в виде"
84,"себе, вертит головой) … похоже на лист, на червяков (водит карандашом по"
85,Листья пальчато-раздельные или пальчато-рассеченные.
86,"Красивы у аконитов и листья — крупные, разрезные, часто ярко-зеленые, блестящие."
87,жизни у растений развивается розетка листьев.
88,"которых заполнен водой, карандаша и листа бумаги определить примерный объем тела"
89,2. 5. Из медного листа вырезали пластинку (рис. 2. 2).
90,стекле или находится на железном листе?
91,"железу примите одинаковым, а железный лист заземленным.)"
92,17. 21. Тонкому плоскому металлическому листу площадью S сообщен заряд Q.
93,"ли поверхностная плотность заряда σ= [formula] , если листу придать форму цилиндра?"
94,21. 3. Лист бумаги из блокнота плотно приклеен
95,"отражении бегущей волны от металлического листа, равно 50 см."
96,деления на приставленном к нему листе бумаги (или ее полоске).
97,"интересуют только стебли, так как листья не годятся для плетения."
98,Несколько минут внимательно изучал полтора листа набранного на компьютере текста и
99,"транспортном управлении, ежедневно выдавало маршрутные листы и предоставляло врача для медицинского"
100,было отказано в выдаче маршрутных листов.
101,"выйти на работу без маршрутного листа, сотрудниками ГАИ был даже организован"
102,"Лист прячут в лесу, объяснял честертоновский"
103,общественное устройство создавалось «с чистого листа» переселенцами из Европы.
104,"Лист березы, сорвавшись, кружился."
105,Лист кружит…
106,"слов, скажем, есть корень, обозначающий «лист», английское «leaf», в русском — это"
107,всему миру именно со значением «лист».
108,засыпать местных судебных приставов исполнительными листами с требованиями «наложить… запретить… приостановить
109,"Листья ярко-зеленые, блестящие."
110,"Листья темно-зеленые, крупные, блестящие, плотные."
111,"Листья темно-зеленые, плотные, блестящие."
112,На белом листе бумаги она начертила мужской контур
113,"Затем методично закапала весь лист свечным салом, нарисовав причудливую звезду."
114,"концевые узлы топологии, которым соответствуют листья (висячие вершины) дерева графа."
115,"на возможность начать с чистого листа жизнь более благополучную, но под"
116,обновляется за счет нового роста листьев.
117,Благодаря плотной массе темно-зеленых листьев вероника декоративна даже в нецветущем
118,"конце апреля — начале мая), когда листья только начинают разворачиваться, но можно"
119,"пяти тысяч лет индейцы жуют листья коки, притупляя чувство голода и"
120,"Кстати, в ста граммах листьев коки содержание кальция, фосфора, железа"
121,"в ней было завернуто несколько листов бересты, мелко исписанных неровными строчками."
122,"с деревьев фрукты, накрывают их листьями и травой, чтобы те бродили."
123,"они обходят стороной деревья, в листьях которых содержатся алкалоиды."
124,жирафы с радостью набрасываются на листья и пьянеют.
125,"пиона, розы, ромашки, плоды и листья земляники."
126,деятельности будут располагаться на одном листе.
127,выплаты компенсаций сотрудникам по больничным листам.
128,Максимальный размер выплат по больничным листам предлагается увеличить до 15000 руб.
129,"Частота волн, вызванных падением листьев или дождевых капель, равна примерно"
130,"лиственными деревьями, — опавшие и мокрые листья могут стать причиной несчастного случая."
131,"необычными по форме и цвету листьями, плавно переливаясь из одной композиции"
132,"канцелярскими принадлежностями — 1 карандаш, 2 листа писчей бумаги, 1 папка — причем"
133,карандаш и 20 руб 2 листа бумаги — а всего 145 руб
134,"трудно представить, как на двух листах бумаги можно было уместить данные"
135,реклама интим-услуг не удаляются из листа сообщений.
136,"цементную стяжку или уложить гипсоволокнистые листы, а затем — напольное покрытие по"
137,Стена обшита гипсоволокнистыми листами.
138,"и т. д.), поверх гипсоволокнистых листов лучше нанести гидроизолирующую мастику."
139,рекомендована для работы с гипсоволокнистыми листами.
140,Можно закрыть стену гипсоволокнистыми листами: тогда изнутри все будет в
141,На прямоугольный лист фольги положить на середину продукт
142,"поднять над ним продольные части листа, соединить их и плотно завернуть"
143,"продаются вместе с исполнительным судебным листом, это означает, что держатель векселя"
144,"Весной молодые листья нежно-розовые, позднее — бело-зеленые."
145,"интересной формой, окраской или фактурой листьев."
146,"сельдерей, укроп, салаты с разноцветными листьями."
147,смотрятся в окружении плотных мечевидных листьев.
148,"стебель его был весь в листьях-огурчиках, и на нём, как"
149,"поливают чистой водой, смывая с листьев капли удобрения."
150,рассаду с 8-10 развитыми листьями и хорошо сформировавшимся мочковатым корнем.
151,"нужно не глубже первых настоящих листьев в рыхлую, хорошо удобренную почву."
152,К тому же некоторые листы графики будут выставлены впервые.
153,"пускали голубей, сделанных из тетрадных листов, складывали бумажные кораблики или просто"
154,Из обычного листа бумаги без помощи ножниц и
155,"д. Ему свойственно хорошее прилегание листов друг к другу, что позволяет"
156,"Олимпийские чемпионы из Страны кленового листа подверглись такому шумовому воздействию, которое"
157,лошадей…» и не смогла с листа прочитать.
158,"эти месяцы как с чистого листа, никогда не вспоминая прошлого, не"
159,своей надписью сверху на титульном листе.
160,"произведения — Рахманинов, 23-й концерт Моцарта, Лист."
161,"папуасы: на купальные костюмы нацепили листья, цветы, осоку."
162,"заменить фасолью), 2 сладких перца, листья салата, 2 помидора."
163,"2 ст. ложки майонеза, лавровый лист, морковка, луковица, небольшой помидор, огурец"
164,"паприки и соли, пучок петрушки, листья салата, зеленый лук, красная икра"
165,"морковью, репчатым луком и лавровым листом, охладить и нарезать кольцами."
166,"его дыхание — земляника, подмышки — смородиновый лист, живот — сухое сено."
167,"сорвалась с места, как осенний лист, ни кола ни двора, и"
168,Ирина сгребала серые прошлогодние листья и жгла их.
169,Ирина продолжала сгребать листья.
170,"заборы, бетонные плиты, заграждения из листов шифера или нержавейки (которые можно"
171,"АЛЫШЕВ: С листа формата А 4, с эскиза."
172,что у всех капустных кочанов листья растут абсолютно симметрично: этакая рота
173,АВТОПИЛОТ»: Что в больничном листе писали?
174,Однако внизу листа кто-то карандашом приписал от руки
175,От перевозки больших листов фанеры и оргалита лучше отказаться
176,свои ценные бумаги в котировальный лист первого уровня фондовой биржи РТС
177,"Он смешает на листе бумаги десяток красок — нет, сто"
178,"45, оп. 1. д. 247, л. 81-83."
179,"нее новый, еще не помятый лист карты, развернул его на траве."
180,Явно не тот лист карты.
181,развернул на траве ее подмоченный лист.
182,"Корнеевна, получив из редакции чистые листы, написала мне:"
183,"долго ждать: передо мною 8 листов моей книги, а остальные обещаны"
184,"На тех 8 листах, которые сейчас прочитала я, в"
185,"кое-какие неприятные мелочи: в одном листе»?» вместо»!», в другом абзац явно"
186,Вот сопроводительный лист!
187,"деревянной чуркой край чистого цинкового листа, из которого то и мгновение"
188,"чем-то повинные, до обрыва белого листа."
189,"такую, а поменьше и чтоб лист на ней зелёный был."
190,"Евдокима про тыкву с зелёным листом, со смеха на землю попадали."
191,тыква поменьше да с зелёным листом.
192,Общий список специальностей занимает несколько листов.
193,В Приложении (5 листов) содержатся: действующий сертификат на оборудование
194,сразу вроде как опала завядшим листом с дерева.
195,"загончик с оконцем в тетрадный лист величиною, выходящим на захламленный задний"
196,"же странице обложки в пол-листа величиною, глянцем покрытая и украшенная"
197,я встал перед ними «как лист перед травой» и произнес какую-то
198,"доме на Автозаводской про синие листья, Динку и Васька Трубачева были"
199,"требовала, чтобы ей взяли открепительный лист, шагала по жаре за несколько"
200,"кусочку материи размером с обыкновенный лист бумаги, из которого только и"
201,"по сырому Замоскворечью и засыпанной листьями Ивановской горке, в не прочитанных"
202,"оно отчаянно цеплялось за последние листья на деревьях, одинокие сентябрьские цветы"
203,"писательской воли, запросилось на белые листы, что трое его персонажей суть"
204,"если бы не сидел над листами бумаги, если бы не писал"
205,"полагая, что везде: и в листьях, и в воде, и в"
206,с деревьев начали медленно падать листья; они кружились и качались над
207,Вянет лист.
208,"дворе, и ветер горстями подбрасывал листья."
209,"тем, как несильный ветер кружит листья над песочницей."
210,почернелых расщеперенных досок и ржавых листов утильного железа.
211,На лобовое стекло нападали листья.
212,"отозвался врач, кладя ручку на лист."
213,"по насту желтые и бурые листья, а, напротив, мертво покоится в"
214,Точно: за диваном стоял огромный лист фанеры.
215,"писать, они обзаводились несколькими сотнями листов бумаги 200-летней давности (а уж"
216,"Кукоцких встречается то в наградных листах, то в списках школьников, заведенных"
217,"Anatomia», литер А, на восемнадцати листах, с 245 рисунками, изданный Сабашниковым"
218,"шепот, и в бездревесности кружилися листы…» — строки эти уже были написаны"
219,"Крыму, и среди семи тысяч листов большого гербария флоры Таврической губернии"
220,"как старая бумага, и хвойчато-игольчатые листья кустарников, охраняющих дорожки Ботанического сада"
221,бледные пятна появились у основания листьев и на них восковой слой
222,"Гольдберг, постоянно производящий бесчисленные мелкоисписанные листы бумаги и каждый раз оповещавший"
223,вытерла рот куском грубого лопушиного листа.
224,и даже влагалищные соединения узких листьев.
225,"запахом, второй — незнакомый, с плотными листьями, обведенными по краю светлой каймой."
226,"помогающей пережить гриппозное воспаление, потребляя листья крапивы."
227,И в бездревесности кружилися листы.
228,"одной мировой линией, а целым «листом», содержащим бесконечное число таких линий."
229,"книжку своего знаменитого пациента, приготовила лист бумаги для письма и поставила"
230,"с осеннего, нарядного древа, опадает листьев, сколько их кружит и уносит"
231,"Вдоль по мосткам несется листьев ворох, —"
232,"было истинной правдой, и белый лист его творений остался чистым."
233,"прозеленью настойкой, которая пахла смородиновым листом."
234,"Полная заправка, путевые листы."
235,"репку, а нам, медведям, — одни листья."
236,"педагогам пришлось еще отдирать титульный лист, приклеивать новый, чтобы Кио удостоверил"
237,"Берешь два ролика, вставляешь чистый лист бумаги, крутишь — и бумажный лист"
238,"лист бумаги, крутишь — и бумажный лист выползает с другой стороны в"
239,"двору, горели первые кучки опавших листьев, и дым напоминал Андрею такие"
240,"Он лег на железные листы площадки, с высоты третьего этажа"
241,"На чистом листе Андрей стал быстро писать, буква"
242,Андрей Николаевич глянул на титульный лист и невольно сжался.
243,"и вообще единственное, что на листе понятно, — это уведомление в правом"
244,"слова и буквы на чистый лист бумаги, и неправильные, выпадающие из"
245,"Мустыгиных летели в воду опавшими листьями, унося с собой московские тайны"
246,"Над погостом шелестят пожелтевшие листья берез, две могилки, обнесенные оградой"
247,от неслышного трепетания трав и листьев.
248,"вдуматься, каждый прожитый год — очередной лист так и не раскрытого дела"
249,"серой корой, и небольшими пильчатыми листьями."
250,прямоствольное дерево с довольно крупными листьями и крупными длинными желудями) и
251,ветвистое дерево с более мелкими листьями и мелкими же округлыми желудями.
252,дуб Медведева с характерными ажурно-вырезными листьями.
253,отличаясь тонкооттянутыми концами лопастей мелких листьев.
254,и остролистный несут довольно крупные листья и являются довольно крупными деревьями
255,"Ясень возвышенный, с перистыми листьями и слегка извитым стволом, предпочитает"
256,цветет и плодоносит до распускания листьев — в массе опадающие в мае
257,"большинство принимает за маленькие колючие листья, на самом деле является уплощенными"
258,"крупными широкими, совсем не ивовыми листьями."
259,"Оказывается, в тарелку попал лавровый лист."
260,"Laminaria образовано от латинского «lamina» — «лист», «пластинка»."
261,"которых проглядывала прошлогодняя трава и листья, мне представлялись самые невероятные картины"
262,а это более 1000 авторских листов.
263,"Шифера бы листов пять или досок, хоть горбыля."
264,А малышу Капустину вручил лист бумаги и велел рисовать.
265,"Капустин вылез из-за парты с листом бумаги, не торопясь подошел к"
266,запах ландышей и молодого березового листа.
267,"вниз, сшибая с древа последние листья."
268,"из сада, плыли запахи мреющего листа и подмороженных яблок."
269,"деревца, дрожащие на нем последние листья и несколько яблок, вроде бы"
270,"говорят его душе своими пыльными листьями, однако природы во всем ее"
271,"и глядеть, как вода отражает листья и узорное сквозь них небо"
272,"воды и колыханье ветвей и листьев ежемгновенно меняют картину, — возникает восторг"
273,"сел под нее, увидел отраженье листьев и неба — и — ничего!"
274,за которым зеленели первые острые листья.
275,Так она и появилась среди листьев и серого неба.
276,"потом это дерево, осененное первыми листьями, потом разорванное пополам облако."
277,"нимб, и его манипуляции над листом картона начинали казаться священнодействием какой-то"
278,"Водя пальцем по зеленоватому листу и однообразно матерясь, Петр Сергеевич"
279,"профиль усопшего над краем оргалитового листа, который держали два проводника."
280,"Оргалитовый лист, специально использовавшийся для этих случаев"
281,Через всю верхнюю часть листа шла жирная надпись:
282,"окну и стал читать тот лист, которому предстояло покинуть книгу следующим:"
283,"вдруг заметил в самом низу листа постскриптум, короткую приписку мелким почерком"
284,"царапин, словно кто-то водил по листу засохшей ручкой, пытаясь ее расписать."
285,"неподвижную ветку с большими черными листьями в квадратном пятне света, падавшего"
286,Гулко стучу ботинками по листам железа.
287,"снег, выворачивал землю и опавшие листья."
288,"Если мне нравится запах листов у книжки, то она самая"
289,"Посреди альбомного листа химическим карандашом выводила квадрат, а"
290,прабабушка и снова склонялась над листом.
291,Невозможно взять лист бумаги и написать на этом
292,"бумаги и написать на этом листе все то, чего от нас"
293,К листьям комнатных цветов подключали специальные приборы
294,"серебристыми стволами буков, устланному золотистыми листьями, пахучему и свежему, как молодое"
295,Он вручил начальнику тетрадный лист с автографом Вождя.
296,"Бумаги не шуршали, как осенние листья, а шептали, как сень старинного"
297,"завел историю болезни, по-тогдашнему скорбный лист."
298,догадался взглянуть на этот скорбный лист.
299,"недругах царевны Елизаветы, встал как лист перед травой, едва она воцарилась."
300,между гладкими металлическими или стеклянными листами под прессом.
301,"картон, толстую бумагу или тонкий лист шпона."
302,"представляет собой единый достаточно прочный лист, или в том случае, когда"
303,"толщину, под металлическую прокладку помещают лист плотного картона, который компенсирует разнотолщинность"
304,"этого на место утраты накладывают лист тонкой белой бумаги, на него"
305,на него — копирку и второй лист бумаги.
306,выемки и получают на первом листе бумаги отпечаток контура.
307,двух наложенных один на другой листов разных материалов одновременно вырезают или
308,"Вставляя в прорези первого листа вставки из второго, получают два"
309,"меди, латуни, олова) берут большие листы, толщина которых должна соответствовать толщине"
310,Рыжие листья бесшумно кружились в токах солнечного
311,"таких моментов, взволнованный, схватил он лист бумаги, нарисовал план тимофеевского поместья"
312,По глади водохранилища плыли желтые листья.
313,"незадолго перед тем читала «скорбный лист» болезни Пушкина, историю его последних"
314,"как лезвия ножей, уже обреченные листья."
315,"Изучив, переворачивала лист."
316,"нужным образом дюралевые или алюминиевые листы, образуя шасси, размечал на них"
317,"часами путешествовать по стеблям и листьям покрывала, вполне реально воображая черт"
318,"счастливое — начнется, как с чистого листа."
319,Листов пятнадцать толстого картона с рельефным
320,Целый лист занимала глянцевая школьная карточка.
321,его журналистском блокноте на два листа.
322,"резкий запах тающего снега, прелых листьев."
323,"и домашние огурчики со смородинным листом, и капустка, и помидорчики, и"
324,То шелестящие переговоры осенних листьев.
325,"Федя пришел домой, взял лист бумаги и написал на нем"
326,Кощунственный лист бумаги — «Бога нет» — Федя запер
327,"При ветре кустики ершились, выворачивая листья, становились еще серебрянее."
328,украдкой положил туда же секретный лист: «Бога нет».
329,"из пней, из завали прелых листьев."
330,в пышной пачке из газетного листа и огромных полуботинках.
331,"Березовый лист, прилипший к ягодице инвалида?"
332,"До заката стучал по фанерному листу маленький, гулкий, неуловимый шарик."
333,"как рассол, Фонтанке тесно плавали листья."
334,На листе картона было выведено зеленым фломастером:
335,"Беру лист бумаги, пишу."
336,"в линейку, вырвал из нее лист, оглянулся по сторонам; в его"
337,"Он положил лист на шаткий вагонный столик, отвернув"
338,"столик, отвернув скатерку, и, заслоняя лист рукой, стал что-то писать."
339,"шум в коридоре, мальчик схватил лист и, скомкав, сунул его в"
340,Аврора сунула ей путевой лист.
341,Уже можно было сосчитать листья фикуса на окне.
342,Листья над головой чуть вибрировали от
343,брат и его жена вырвали листы с автографами.
344,"Он беспокоится, ворчит, хватает лист, отодвигает локтем стаканы, и, сам"
345,вытирая слезы по-странному — осенним кленовым листом…
346,"все плачет, утирая слезы кленовым листом…"
347,"Однако листом крепок, тли нет."
348,из воды два оранжевых кленовых листа.
349,"было тихо, хорошо, и последние листья, как маленькие кораблики, медленно плыли"
350,как падают с нее последние листья.
351,бы на мне весной вырастали листья? — сказал Ежик.
352,А какие бы ты хотел листья? — спросил Медвежонок.
353,"осеннего, когда с него осыпались листья, — боялся."
354,Листья сыплются…
355,"и подавно, а вот когда листья шуршат и осыпаются — страшно мне…»"
356,"Почему, когда листья сыплются, страшно мне?"
357,"Это не листья сыплются — это время шуршит, — сказал"
358,"и яблок, блеск и трепет листьев, на траве чуткие черные тени"
359,"фиолетовое и просто белое — круглые листы осинника, уже налившиеся винным багрянцем"
360,"стебли иван-чая с острыми чуткими листьями и фиолетовым цветом), — все это"
361,"кашек и белых колокольчиков, пожухлыми листьями кустарников."
362,словно выкроенную из зелено-белого серебристого листа кукурузы кобылку. «Она? — подумал он
363,колючим барбарисом с круглыми багровыми листьями и эдакими небольшими ладными лопушками
364,всего походили на желтый березовый лист.
365,"им, сел за стол, вырвал лист из настольного блокнота и размашисто"
366,заставили деда расписаться на каждом листе по отдельности.
367,"об этом: липы с пыльными листьями, жара, серый песок."
368,даже выпустил книжонку в два листа.
369,фаянсовыми блюдами в виде большого листа.
370,"ее, что-то выписал себе на лист бумаги, потом поднял на Зыбина"
371,"Он вынул из папки лист бумаги тетрадного формата, встал и"
372,"без книг, с большим печатным листом телефонов в руках, и, глядя"
373,"за стол, положил перед собой лист с номерами телефонов, позвонил куда-то"
374,Стучали ключом об лист железа металлической обшивки двери.
375,достал из нее двойной тетрадный лист и протянул Корнилову.
376,сказал Смотряев удовлетворенно и отобрал лист у Корнилова. — вот этого мы
377,"сразу же заторопился: вынул чистый лист бумаги, положил его на стол"
378,развели мне богословия на сто листов!
379,рукопись на двухстах двадцати четырех листах машинописи «Суд над Христом» как
380,"было мне высовываться с этими листами, — с горечью сказал Корнилов. — Кто"
381,"папку и вынул оттуда тетрадный лист. — «Может быть, вы говорите предположительно"
