,0
127,конструктивными прениями и для живости — парой вопросов с мест.
128,пять залетал в СИЗО и пару раз кантовался в зоне.
129,"очереди, а иногда и на пару катались они в Актюбинск."
130,пользователи Сети могут подобрать персональную пару кроссовок с понравившимся цветом и
131,Отмеченная кратность соотношений изоморфных пар объясняется почти симметричным делением (ядерной
132,создавая с исходным протоядром изоморфную пару элементов (табл. 1).
133,Наиболее изученные изоморфные пары элементов
134,Составляющие пары таких элементов имеют достаточно близкие
135,"отдельных минералов, т. к. эти пары элементов представляют собой одну из"
136,"Вот некоторые, наиболее часто встречающиеся пары элементов в минералах:"
137,полевые шпаты и многие другие пары элементов.
138,Некоторые из указанных пар элементов можно наблюдать в минералах
139,Прекрасная работа знаменитой пары Алентова-Меньшов
140,"Может быть, вначале пару раз придется посидеть без хлеба"
141,"Если закрыть глаза на пару глуповато-надуманных сцен, то авторам фильма"
142,ДЕЗом и районным санэпиднадзором спустя пару недель после Нового года.
143,Медведев (Сергей Бодров) и влюбленная пара актеров-англичан — Джон (Йен Келли
144,"Кроме гола, пары миланских атак и дичайшего удара"
145,Станислав Захаров первенствовали в соревнованиях пар.
146,Две российские пары оказались на пьедестале и в
147,конвейер по выпуску сильных спортивных пар.
148,"году, когда ни одна российская пара впервые на юниорском чемпионате не"
149,Хамаре у двух первых российских пар не было конкурентов в борьбе
150,"с расставаниями партнеров — среди тех пар, что становились чемпионами среди юниоров"
151,"будем спешить с комплиментами нашим парам, попавшим в призы."
152,Пары.
153,"Вот буквально пару дней назад позвонил приятель, с"
154,Через пару дней Влад позвонил и предложил
155,"очей усладой, мамочке опорой, оставалась пара лет."
156,"Шесть лучших аргентинских пар, история танго, начиная с фламенко"
157,"За исключением пары комиков, уморительно откалывавшей кренделя и"
158,Сердитая пара в черной униформе усердно топтала
159,В клубах игроки наигрывают пару-тройку комбинаций через «пятачок» и
160,"хоккея найти в помощь Плющеву пару хороших теоретиков, которые помогут правильно"
161,"не ожидается, и предсказать победителей пар с уверенностью не сможет никто."
162,"надо отыскать в каждой из пар клуб, готовый в большей степени"
163,"москвичам будет достаточно обыграть победителя пары ГАК (Грац, Австрия) — «Шериф» (Тирасполь"
164,"Конечно, когда видишь пары вроде» Интер» — «Спортинг», понимаешь, что"
165,"Локомотив» (Москва, Россия) — победитель пары ГАК (Австрия) — «Шериф» (Молдавия)."
166,Русенборг» (Норвегия) — победитель пары «Брондбю» (Дания) — «Динамо» (Албания).
167,"Шахтер» (Донецк, Украина) — победитель пары «Брюгге» (Бельгия) — «Динамо» (Румыния)."
168,Победитель пары «Марибор» (Словения) — «Апоэль» (Кипр) — АЕК
169,Барселона» (Испания) — победитель пары «Вардар» (Македония) — «Легия» (Польша).
170,"Победитель пары «Сконто» (Рига, Латвия) — «Левски» (Болгария"
171,"Рига, Латвия) — «Левски» (Болгария) — победитель пары «Динамо» (Киев, Украина) — «Пюник» (Ереван"
172,Победитель пары «Лиллестрем» (Норвегия) — «Железничар» (Босния и
173,"Позже петардометатели предпримут еще пару попыток приостановить игру, что у"
174,рассеявшийся дым зрители смогли увидеть пару-тройку быстрых прорывов в исполнении
175,"в первенстве страны, но за пару дней до его старта отозвали"
176,"И никто, кроме пары мальчишек, не останавливается взглянуть на"
177,"Я, например, познакомилась с супружеской парой: оба немцы, оба адвокаты, оба"
178,Пара натюрмортов (с пышным букетом и
179,Зато сегодня на оставшуюся пару квадратных километров устремляется едва ли
180,Язвительный остался неопознанным из-за плотного пара.
181,в качестве оператора-постановщика на пару с Анатолием Мукасеем — они вдвоем
182,Пару раз мы стояли на светофоре
183,может применяться как горючее в паре с жидким кислородом или перекисью
184,"ракет-перехватчиков THAAD, NASA — в паре с различными окислителями, а также"
185,"его уголовно-политическим проблемам, которые через пару дней нарисовались в Самаре."
186,"свежие Алла и Филипп, образцовая пара грандов шоу-биза."
187,"Напомним, что пару дней назад Паунд упомянул о"
188,"После скандала пара покинула «гнездышко», но студент решил"
189,"на протяжении которого «МЮ» лишь пару раз переходил центральную линию, сохранив"
190,канониров» уже почти не смущает пара арсенальских голкиперов Симен — Шаабан.
191,На пару со Скоулзом они до того
192,"Но это было еще до пары камней, что полетели в окна"
193,"А он, потратив пару дней на изучение ситуации, уже"
194,обманчивые колеи глубиной всего в пару сантиметров.
195,Хорошо еще случился скандал с парами — ожидание не было томительным.
196,"просто, любой абонент осваивается за пару минут."
197,я успел найти в магазине пару ботинок под костюм для первого
198,процентов чистой прибыли с каждой пары.
199,"посмотрел бы футбол, выпил бы пару кружек «Жигулевского» пива с сорожкой"
200,а подчас и накидывая себе пару-тройку лет: «Мне уже семьдесят!»
201,"Потом пригласил пару коллег, и они музицировали в"
202,По-русски он знает пару фраз типа «большой русский бордель
203,Пара выглядела очень артистично.
204,У нее была пара каменных зверушек от Фаберже.
205,"Кроме пары мелочей, подаренных при жизни, у"
206,руках ее трехмесячную Сашеньку за пару дней до Танечкиного рождения…
207,В этой паре роли распределялись так: она — больная
208,в любой семье: каждая супружеская пара в определенный момент проходит через
209,"встает, вспоминает что-то, бежит, достает пару галстуков, партитуры, закидывает это все"
210,отца-офицера были пистолет и пара трофейных клинков.
211,А вот выучить пару стихотворений и что-то изобразить я
212,"посиделки в ресторане, которые спустя пару часов заменили новогодним катанием на"
213,А когда упал — дали пару раз ботинком в морду.
214,Должна быть пара.
215,"Ирине поднялись законные владельцы — молодая пара, муж и жена."
216,"И еще пару слов о том, как родилась"
217,и в его подчинении всего-то пара десятков сотрудников.
218,"Позавчерашний концерт этой пары показал, что от обоих можно"
219,В паре с автокосметикой лучше использовать губки
220,Сегодня — мы сильнейшая пара.
221,Пара пресмыкающихся — микропехисы Лессона — отложила здесь
222,"прибытие в зоопарк еще одной пары микропехисов Лессона, правда, на этот"
223,"отмечены Алексей Казанцев, который на пару с Михаилом Рощиным (тот свою"
224,"карвинговых лыж: нужно покупать ту пару, которая доходит до кисти поднятой"
225,"и лучше, и, когда через пару лет я решил стать академическим"
226,назад их называли «самой взрывной парой за всю историю кафе-театров».
227,"Я влюбилась в историю этой пары, случайно познакомившейся вечерком, проведшей ночь"
228,для их натяжения ($ 50 за пару).
229,"Длинные легкие предметы (удочки, рейки, пару отрезков пластиковой вагонки) надежнее всего"
230,Для создания каждой пары обувщики Tod' s совершают 130
231,"А через пару лет, глядишь, российские издания будут"
232,"и длиной 150 см две пары электродов (длиной 30 см, шириной"
233,наполнения камеры дейтерием в каждой паре электродов инициировался разряд (I= 5
234,Пару лет назад я работал летом
235,ней: во Франции подобную нерасторжимую пару составили Огюст Бланки и Шарль
236,"из марки, Мариинским театром — в пару к июньским, преимущественно оперно-симфоническим «Звездам"
237,"фестиваль, четыре танцовщика-мустанга (две пары, если точнее) фактически уничтожают сами"
238,из стендов — фотография молодой супружеской пары с двухлетним ребенком.
239,"Еще пара таких случаев, и я вообще"
240,октябре) они успеют лишь переброситься парой фраз.
241,"понадобились только затем, чтобы составить пару незатейливых пирамид в воздухе."
242,"временем развязал свой вещмешок, вынул пару сухарей."
243,"Единственную в хате пару латаных валенок оставил сыну, чтобы"
244,"На пару часов, все равно уже…"
245,окончил фельдшерский техникум и на пару с доктором Дашкевичем работал в
246,все утро приносил домой каких-нибудь пару плотвичек — коту на завтрак.
247,"редкими облачками небе кружила поодаль пара аистов, а над головами опять"
248,"пробираясь сквозь колючий сосняк, парень пару раз останавливался, видно, ожидая, что"
249,"Получив пару раз по ногам, завелся огромный"
250,Мне надо еще пару дней.
251,у меня еще есть пара дней.
252,Ну как? — сказала она через пару минут.
253,махом объявить полный состав команды — пару боевых пилотов и гонщика-испытателя.
254,"окажется в «Минарди», у которой пару месяцев назад «Тойота» переманила главного"
255,"сходит с ума, а какая-нибудь пара, тройка зрителей возмущается: «Как можно"
256,"по 48 мужских и женских пар, 500 тысяч долларов общего призового"
257,Кушнаревым и Сергеем Ермишиным — лучшей парой России по пляжному волейболу.
258,"бортом основного турнира, обыгрывали сильные пары из Бразилии, Канады…"
259,"Во второй «совместный» год российская пара закрепилась в основной сетке, а"
260,"Ну и, конечно, российской паре сыграл на руку скандал в"
261,и должны были) забить еще пару и к концу матча решительно
262,"давно благополучный киприотский эмигрант, через пару дней после трагедии ведет «прямой"
263,"хватает теперь больше, чем на пару-тройку гонок за весь Кубок."
264,лыжниц сейчас именно Чепалову в паре с такой же очаровательной норвежкой
265,все это — дело поправимое: через пару месяцев он обещает заговорить по-русски.
266," пара — два сапога, одни пороки,"
267,"щекотки, люди являлись голышом из пара все равно что младенцы, было"
268,и бросил в лицо чужаку пару фраз: «Я рассказываю для людей
269,"блестящую, точно б покрытую лаком, пару диковинных сапог."
270,"такой, мы с ним на пару…"
271,"и еле сдерживаясь от смеха, пару лаковых оркестрантских сапог быстренько прибрали"
272,"Это была пара солдатских, каких-то обношенных, которую подбросили"
273,"вы с Назейкиным вместе, на пару."
274,"исключением разве что российской танцевальной пары Ирина Лобачева — Илья Авербух, которые"
275,На Олимпиаде появится первая русская пара и мощный «русский блок» в
276,"два сезона выглядят более стойкой парой, не говоря уже о китайцах"
277,"Кулик, Тара Липински и танцевальная пара Оксана Грищук — Евгений Платов."
278,Олимпийскими чемпионами среди пар сенсационно стали Оксана Казакова и
279,Пары.
280,Пары.
281,Электронное письмо за пару секунд приходит в другое полушарие
282,Через пару месяцев Степашина пригласил Борис Ельцин
283,1 (473-2) догружателя колесных пар
284,1 (472-2) догружателя колесных пар
285,"Создает цепь управления догружателями колесных пар, исключая пользование догружателями в тормозном"
286,одинаковой нагрузки на все колесные пары
287,"Из двадцати пяти пар признаков выбираю пять: «женственное», «хорошее"
288,потом в расположение «вовчиков» залетает пара гранат или подлетает на воздух
289,возможен переход на вождение пяти пар пассажирских поездов в одно лицо
290,повышенный износ пары поршень-втулка цилиндра;
291,Я в профессиональном теннисе всего-то пару лет.
292,в группе — из купленных за пару километров до перекуса двух пачек
293,"После пары раундов объяснений, почему мы сегодня"
294,карабкаться круто в гору — преодолеваем пару тягунов процентов по пятнадцать.
295,косвенный метод оценки состояния трущихся пар дизеля по спектральному анализу масла
296,"том, что среди них есть пара-тройка местных парней, попавших в"
297,Уже через пару дней дорогу открыли.
298,"имущества, даже котелка, лишился и пары белья, и новой пары портянок"
299,"и пары белья, и новой пары портянок, выданной при демобилизации."
300,Иные пары уж и в сторону сваливали.
301,с десятком пачек концентратов и парой банок американской тушенки.
302,"Умильно было смотреть на эту пару, когда, усевшись на перекур, зимой"
303,"и добрый совет дала доблестной паре: детей, больше одного, не заводить"
304,"поднимали, чтоб одним выстрелом выбить пару иль несколько птиц."
305,"Но вечером горничная пара явилась на половину хозяйки, и"
306,"по тому, что из газеты пару раз звонили с вопросом, где"
307,"Кроме того, я выпил пару рюмок водки, что вообще-то бывает"
308,Через пару дней нас навестили сотрудники уголовного
309,"бы для того, чтобы доставить пару неприятных минут мне и пару"
310,пару неприятных минут мне и пару приятных — себе…
311,"я, на всякий случай, перекинулся парой слов с Глинкой и с"
312,с кем-нибудь из них в паре.
313,"Я видела его пару раз… раньше, давно…"
314,"Замечу в скобках, что через пару минут я понял, в чем"
315,"каждый раз, потому что за пару лет нашего знакомства так и"
316,"свинки, ему удалось встать в паре с ней на танцах и"
317,"играют в теннис странными, неравными парами, а иногда делают такое, отчего"
318,"мелькали манящие слова: сессия, коллоквиум, пара, зачет, — школьники слушали его раскрыв"
319,Отсидел бы пару лет и вышел.
320,"результате сделки она получит на пару тысяч больше, чем рассчитывала."
321,"кухоньке-то на общей обделается пару раз, да разочек его эпилепсия"
322,"них считанные разы, приезжая на пару дней, — пятнадцать лет назад… девять"
323,по себестоимости оковалок мяса или пару мешков картошки.
324,"Достал из сумки бутылку водки, пару соленых огурцов, луковицу и хлеб."
325,дне; если окно — то без пары стекол во внутренних створках; если
326,"солнца, свежесть воздуха, влажную теплоту пара, поднимавшегося от черной земли, ощущая"
327,На пару-то дней у вас найдется?»
328,"году, а потом только видел пару раз, да и то, можно"
329,"устанавливается направление заимствования, например, в паре «русск.кашне — франц.cache-nez (буквально"
330,буквально: ' спрячь нос ')» или в паре» русск.закуска  (где легко выделяются
331,всякого труда сможете найти какую-нибудь пару «фараон — король» с похожим числом.
332,"вам попадется еще одна удовлетворительная пара Ф 3 К 3 , а"
333,"право стоять с ней в паре, дежурить по классу и просто"
334,"изумительной красоты немолодая уже супружеская пара, азербайджанцы из Карабаха."
335,Нескольким парам он порекомендовал уехать на несколько
336,"Потом отошла на пару шагов в сторону, спустила штаны."
337,"за ним, врастяжку, поодиночке и парами, потянулись остальные."
338,"одну, потом вошла еще пожилая пара."
339,"Они распределены в двадцати трех парах хромосом, не так ли?"
340,И вообще представь: собралась молодая пара ребенка завести — это уже по
341,"заехала лишь однажды, забрала три пары трусов, шерстяные носки и записную"
342,"разноцветными, готовыми раскрыться почками, потом пару раз приезжала уже в мае"
343,имиджу нового главы государства прилепить пару шматков компромата оказалось крайне тяжело
344,Парой песен вошли в известный сборник
345,"ходили на приемы как официальная пара, много общались с его друзьями"
346,"Не скучай, придет охота, черкни пару строк старой подружке, буду очень"
347,этой угрозы «Омскэнерго» отключило на пару часов Забайкальскую железную дорогу и
348,"автоматически выдавал последовательность, состоящую из пар чисел, скажем, нулей и единиц"
349,"Затем эти никому не известные пары чисел, зафиксированные на одной из"
350,"было смотреть на любую супружескую пару, потому что тут же возникала"
351,За парой туфель последовала пара маленьких компьютеров
352,"За парой туфель последовала пара маленьких компьютеров, причем размер их"
353,"Путняя рыба парой ходит, не то что ты"
354,"Милиционеры чаще всего парою дежурили на пристани, но на"
355,"Одну пару в стирку сдашь, на другой"
356,"Ну четыре пары всего и половника два, вот"
357,"а на речке запели кулики, парами летая над водой с берега"
358,"шерсть, большие глаза, горячие струйки пара из темных пещер ноздрей."
359,"силу: ей требуется хотя бы пару часов отдохнуть: побыть одной, расслабиться, отвлечься."
360,В любой момент оставшийся без пары орган может заболеть.
361,"Они образуют оппозитивную пару, которая может быть названа оппозицией"
362,"Своему недругу Екатерина вручала пару благоухающих отравительниц, и через несколько"
363,родители считали нас самой подходящей парой.
364,Через пару лет она вышла за него
365,"Правда, пару реприз подготовил."
366,И замечательная пара клоунов превратилась в историю нашего
367,"день меняются партнеры, но в паре он всегда остается главным."
368,обаяния было в работе этой пары!
369,как пришла к нему молодая пара и жаловалась на сомнения в
370,долго была с нами супружеская пара из Горького — Галя и Ваня
371,"Правда, заказать даже две пары балетных тапочек директор цирка без"
372,Еще через пару дней меня пригласили в Управление
373,"он, на ультраинтимную встречу с парой лесбиянок, чтоб отучить их от"
374,собой увидел клапаны аварийного выпуска пара.
375,"до взрыва, удар воды и пара вышибет переднюю стенку котла, выдавит"
376,Добродетельная семейная пара под самым боком их бизнеса
377,Аполлона и Диониса в пушкинской паре 54.
378,"Пушкин здесь в двуединой этой паре прямо, можно сказать, увидел будущую"
379,"палками и каменьями прервать сочленение пары, и надо бежать, бежать, пока"
380,"ГАИ, полистает «трамвайные» протоколы, выцедит пару одобряющих слов и важно отбудет"
381,"было — руками касаться этой нерасторжимой пары, в ложбинке умещавшей то, что"
382,"матримониальных целях; чем не идеальная пара, поговаривали в городе, и тем"
383,И зовет меня через пару месяцев один из открывателей сибирской
384,Пару месяцев назад граждане Мамедов и
385,"пианино, три пиджака, семь галстуков, пару туфель 1967 года производства и"
386,получит завод заказ еще на пару десятков.
387,"Главное, что вы замечательная пара."
