,0
96,"Не стаей, а сеткой, точками, то падали, то поднимались."
97,"большие помещения, обтянутые мелкой металлической сеткой."
98,"размеру вольерах из мелкой металлической сетки, сделанных внутри и снаружи попугайника."
99,"столба с верхней перекладиной, без сетки."
100,"и были покрыты гарусными синими сетками, с капором на голове, и"
101,"Если бы не частая сетка, быть мне без руки."
102,"Зеленая сетка, которой маскируют от вражеских самолетов"
103,"они выглядят белыми, а маскировочная сетка или сорванные для маскировки завядшие"
104,"паводки, водки, штурмовка, шамовка, тарифные сетки и дикий волейбол среди выкорчеванных"
105,в таком случае мяч в сетку.
106,"мимо Кольки и, не задев сетки, странным образом отскочил назад."
107,"фонари, и вокруг каждого висела сетка из мошки."
108,В руке она держала сетку.
109,В сетке лежала его груша.
110,"Какие-то железные сетки на козлах вместо кроватей, столы"
111,арестантского прыжка были натянуты частые сетки как при воздушном полёте в
112,в натянутую между ними железную сетку режима.
113,"игре беззаветно; если стоящие у сетки пропускали мяч, он от задней"
114,окна были забраны частой проволочной сеткой.
115,Все в сетках ходят.
116,в коляске — и он в сетке.
117,видел этого толстого младенца в сетке во всем его смешном величии
118,Лицо его было закрыто черной сеткой.
119,"в парандже, не подавая руки. — Сеткой надо одеваться, — прибавил он фистулой."
120,"Я как раз захватил пару сеток, — сказал Скворцов и вынул из"
121,"из кармана две черные нитяные сетки, похожие на авоськи, но с"
122,"Мошка затанцевала вокруг сеток, искусно маневрируя возле ячеек, но"
123,Сетка странно изменила лицо Лиды Ромнич.
124,"и маленькие пляжи-купальни, огороженные сетками от тех же акул; его"
125,"рядов автомашин, обзорную вышку и сетку для самоубийц;"
126,Оно томилось на железной сетке над беспламенным жаром углей эвкалипта.
127,"она где-то в глубине, отделенная сетками."
128,"Сквозь сетку ветвей, наконец, показалось шестиэтажное здание"
129,"премиальных, этот мир всколыхнулся, тарифная сетка стала расползаться."
130,ним — баскетбольный щит с оборванной сеткой.
131,"большие окна, взятые в металлическую сетку."
132,"в полутьме мрамор ступеней, металлическую сетку вокруг лифта."
133,"улице задержал ОБХСС за продажу сеток-авосек, которые они тайно друг"
134,"Качается лампочка в проволочной сетке, храпят ребята."
135,На хрупкой сетке рыбкиного скелета не оставив ни
136,"другие стоймя наставлены, там арматура сетками."
137,Сетка метели была прозрачна.
138,Тучи комаров облепляли лицо — без сетки было нельзя сделать шага.
139,"А на работе сетка душила, мешала дышать."
140,потом Лиза снесла вниз пружинную сетку от его кроватки.
141,"тяжело, да и не нужно: сетку положили на стол, и Грудной"
142,"в самой середине своей пружинной сетки, пялил немыслимо чистые блестящие глаза"
143,Он лежал на своей сетке и ликовал.
144,"Прохожие бежали мимо с сетками-авоськами, со стеклянными банками, в"
145,"самолетов, стоявших под маскирующими их сетками."
146,"на аэродромах, прикрытые паутиной маскировочных сеток."
147,"части стены, за квадратной металлической сеткой, шевельнулось что-то живое, ему показалось"
148,"желтых туфлях и светло-кремовой шелковой сетке, под которую были заправлены его"
149,перекрещивались со стрелками на квадратной сетке карты.
150,"За сеткой в окне, в полуденном солнце"
151,"проверить, одел ли монтер в сетку лампу."
152,"отделении была уже обтянута металлической сеткой, но огорчило администратора то, что"
153,ответил служащий и мгновенно закрыл сеткой дыру в стекле.
154,"банк, где были окошечки с сетками)."
155,"на фонари, тускло горящие в сетке дождя."
156,"него большую железную трубу с сеткой, чтобы колодезь не заилился вновь."
157,"бед: две мельницы положила, рыбакам сетки оторвала и с часовни крышу"
158,"говорил: фонарики — так, маленькие, с сеткой."
159,паял жестяные трубки; плел проволочную сетку.
160,"виллы в Баден-Бадене сквозь частую сетку дождя, в еще не разошедшемся"
161,"бы ванны, накрытый крепкою железною сеткой, а на дне его было"
162,"тотчас же, приподняв до половины сетку ящика, стал палочкой тыкать крокодила"
163,"которую ветер дул, как сквозь сетку решета."
164,"на голову род мешка с сеткой, взял нож, горшок и головешку"
165,из белой бумаги вырезывать красивую сетку на окорок и украшать бумажною
166,МСЭ позволяет автоматизировать без перестроения сетки анализ на сеточную сходимость для
167,В рамках данной реализации спектральноэлементная сетка естественным образом отображается на сетку
168,сетка естественным образом отображается на сетку (grid) из мультипроцессоров графической карты
169,Сетки могут быть прикреплены к воротам
170,"на земле в зоне, ограниченной сетками ворот;"
171,"Реклама не разрешена на воротах, сетках, флагштоках или их флагах; также"
172,"линии ворот, что и глубина сетки ворот;"
173,на расстоянии 1 м от сетки ворот.
174,"сетках ворот и зонах, которые они"
175,взбирается на оградительную сетку и/или приближается к зрителям
176,"метровой отметке; стойки, перекладина и сетка ворот не должны двигаться."
177,"не касаясь стоек, перекладины или сетки ворот, пока удар не будет"
178,Сетки должны быть изготовлены из соответствующего
179,Определение победителя в круговых сетках:
180,"с огромной, килограммов на восемь, сеткой великолепных красных яблок!"
181,Тяжелая сетка почти касалась только что вымытого
182,"его поглубже между яблоками, вручил сетку врачу."
183,"Иди сюда, сын, сетку наберем!"
184,"привязываешься, веревки метров десять выпускаешь, сетку прямо перпендикулярно берегу ставить нужно."
185,"слушая, не забывал бодро перебирать сетку."
186,"Сначала сняли сетку в заливе, улов был хоть"
187,мимо желтых лампочек в проволочных сетках.
188,"mesh (если переводить дословно, то:  «сетка для сервисов»), которым приложения в"
189,Проволочная сетка с нанесённом на неё оксидом
190,Первоначально в калильных сетках газовых фонарей применялись и другие
191,"Кольчуги, решетки, сетки"
192,можно сравнить с кроватной панцирной сеткой (рис. 1.58).
193,Такие «сетки» оказались эффективными для разделения газов
194,приводит к образованию сшитой полимерной сетки (рис. 6.9).
195,И накрыты сеткой от града.
196,"Сетку поставить бы, да рыбки поймать"
197,"ячейки размером 0,5 ´0,5 географической сетки (приблизительно 50 ´ 50 км)."
198,Кета еще попадалась в сетки.
199,были разработаны в рамках грубой сетки модели.
200,усреднения характеристик облаков в ячейках сетки пытаются наиболее реалистичными способами приближенно
201,оболочками проложена броня из проволочной сетки.
202,"из фольги, другой из проволочной сетки."
203,"блядское мини и колготки в сетку, однобитные мозги, ничтожество и завышенная"
204,"створе, а затем упал в сетку."
205,"перекладывает ей песок на резиновую сетку, которая лежит в потоке ручья."
206,Ее черпаком бросают на резиновую сетку в ручье.
207,На сетке появляется золотой блестящий песок.
208,"президенту оставалось ткнуть ее в сетку, после чего он победно вскидывал"
209,"индусы с черными бородами, подвязанными сеткой, важно охраняющие входы в общественные"
210,и в очках с защитными сетками;
211,еще желательно при этом пользоваться сетками и перчатками.
212,"прилегающая ткань образует именно такую сетку, как обнаружена на крышке со"
213,"глютенинов и глиадинов образуют трёхмерную сетку — клейковину, или глютен, Именно она"
214,"той или иной редакции: меняется сетка вещания, появляются новые рубрики, многие"
215,озера бывают поразительно прозрачны; солнечная сетка на пологом дне в недвижный
216,"искусственным склонам, лишь кое-где подернутым сеткой бурьяна, следовало все-таки осторожно: человек"
217,"в глазах, будто железная панцирная сетка."
218,"из воды засорившийся раструб, выкручивал сетку и палкой выбивал какие-то гнилые"
219,"неподалеку, на кое-как охраняемой, рваной сеткой огороженной стоянке."
220,"терки, какие-то ситечки с заплывшими сетками, мятые кастрюльные крышки."
221,"поперек, так что получается запутанная сетка (см. рис. 6.5Г)."
222,"Поэтому, какую бы сетку ритма мы ни наложили сверху"
223,"получим «дырявый шум», принадлежащий наложенной сетке."
224,нижней плите установлено 15 уровней сеток.
225,"Армированная сетка, которую скоро зальют бетоном уходит"
226,"настолько причудливы змейки домов, формирующие сетку исторических районов."
227,"Да еще жемчужная сетка, прикрывавшая волосы и лоб, да"
228,"тяжёлой непромокаемой одежде с москитной сеткой на лице, чтобы запечатлеть камышовку"
229,Эти ограды из нержавеющей голландской сетки имеют свою историю.
230,"Обычно «территории охвачены плотной мифологической сеткой», а в Крыму, о Крыме"
231,они просто были прикрыты камуфляжной сеткой: ну чего на нас высаживаться
232,"старой кровати с продавленной панцирной сеткой и выглядел глупо, потому что"
233,Принимал от разведёнок сетки и коробки.
234,"дружке, несли следом сумки и сетки."
235,"и морально устаревшая единая тарифная сетка, а также введены так называемые"
236,"трещинах штукатурки играла водяная солнечная сетка, и выскочил на проспект, вправо"
237,"Две совершенно нормальные, с размахренными сетками корзины бывали по очереди атакованы"
238,"рука тянет из него слипшуюся сетку, сетка искрит сквозь влагу и"
239,"тянет из него слипшуюся сетку, сетка искрит сквозь влагу и слизь"
240,"знал, когда произошло оживление злополучной сетки: в тот самый момент, когда"
241,"родиться с особым даром: силовой сеткой, позволяющей и требующей быть в"
242,"приступили к монтажу специальных заграждений-сеток, фармацевты изобрели мазь «антиакулин»…"
243,За перегородкой из металлической сетки сидят собаки — дворняги и овчарки.
244,"А вот те облупленные, в сетке мелких трещин, потемневшие от времени"
245,"и спине горчичников, нарисовать йодную сетку, обмотать горло толстым шарфом, надеть"
246,"Ах, сколько сеток / в рыбачьих зонах / мы прокусали!"
247,Ломалась вся сетка его канадских выступлений.
248,Снова шахта и сетка.
249,Сетка кровати протяжно ноет — Упыриха поднимает
250,"Она улыбается, сетка морщин на лице дрожит, играет"
251,Зулейха припадает к окну в сетке длинных трещин.
252,темные кузнецовские глаза в красной сетке сосудов отсверкивают желтым.
253,я все это вижу — голевая сетка малахаилась меж двух тополиных стволов!
254,бомбардир я не знал голевой сетки до той поры.
255,А здесь настоящая голевая сетка.
256,взбивал я им плюхи в сетке.
257,"пользователь, минуя жесткую привязку к сетке программ."
258,"та широкая койка с панцирной сеткой, с никелированными шариками наверху, в"
259,"дворе, с дырявой фанерой вместо сетки, уже не было."
260,"Вместо сетки шалашиком расставляли книги, вытащенные из"
261,на мою сторону у самой сетки — и я просто бежал к
262,"мяч, где на другой стороне сетки, ну, скажем, Пастернак."
263,"криптограмма извилистых кракелюров, трещинок, покрывших сеткой великое полотно."
264,"из тех, что тащить неподъемно: сетки картошки, бутылки с растительным маслом"
265,же во все современное принято сетку лепить.
266,"по разные стороны задней, затянутой сеткой калитки, и железные соты тяжелели"
267,"Самые педантичные хозяйки, задраившись москитными сетками, опускали руки и со смирением"
268,Классическая прямоугольная сетка улиц римского города с декуманом
269,"и развернутая во всю ширь сетка, загораживающая серый небосклон, и то"
270,результате получается как бы своеобразная сетка из пересекающихся траекторий жизненного пути
271,"И этот лифт с сеткой, возможно, один из последних — с"
272,"возможно, один из последних — с сеткой."
273,"выпуклыми полосками, то лиловой мелкой сеткой."
274,"Лифт, запакованный в панцирную сетку, доверия не внушал."
275,и приблизить построенную неравномерную треугольную сетку к равномерной.
276,длине позволяет получить более пропорциональную сетку.
277,Я: — Значит сетку-рабицу натянули.
278,"решетки, они еще и железной сеткой окно затягивают — видать, есть что"
279,поверху еще и затянутых железной сеткой.
280,Минимальный перечень: 1. лицевая сетка (лучше костюм) и перчатки.
281,что ль по углам… леток сеткой закрыть железной потом… вентиляцию все
282,"кошку, то сначала мы поставили сетки на все окна (тогда не"
283,а может и больше — о сетках и речи не было.
284,"них кровать настоящая, никелированная, с сеткой, с блестящими шарами, а у"
285,"из железных уголков и металлической сетки, с трёх сторон участок был"
286,"огорожен вполне капитально этой же сеткой, четвертая — незащищённая, но со вкопанными"
287,"Ходил на ней, ставил пару сеток на том месте, где их"
288,"шабашке, то в море на сетках, то опять в загуле пьяном."
289,целый косяк уже вломился в сетку…
290,"два ветер убьется, выйдем к сеткам."
291,"было залатано, баллоны, покрытые старческой сеткой, сдувались."
292,в кристалле «обычной» формы связаны сетками водородных связей в двумерные слои
293,У нас более стабильная сетка.
294,"процентов музыки, то есть треть сетки занимает музыкальный контент, потому что"
295,"контуров, а также из-за плотной сетки жесткого кракелюра."
296,уравнения Навье-Стокса) на разностных сетках.
297,"Скрипит, старенький, надрывается за панцирной сеткой."
298,"установки была смонтирована специальная металлическая сетка, предназначенная ослабить удар при падении"
299,"тюки, стояла кровать с продавленной сеткой, — новые жильцы торопились въехать на"
300,"впихивая в багажник запылённого такси сетку с картошкой, бидончик молока и"
301,одной стороны лестничные проходы перекрыты сетками: мужской и женский этажи между
302,"изящные ракетки, ажурные воланы и сетки, которыми запасаются на лето желающие"
303,"притаились два вертолёта, укрытые маскировочной сеткой."
304,"жены», которую убирала в волосник (сетку из золотных нитей), надевала кику"
305,"в Mail.ru, развивать другую социальную сетку»."
306,"для зрителей, ворота с драной сеткой."
307,"остановок, дергается, ныряет под строительную сетку и матовую пленку, совершает кульбиты"
308,"на высказывание, а накладывает крупную сетку аудиального фланирования прямо поверх живого"
309,просушенный лак трескается потом мелкой сеткой.
310,"отказывают в другом), какой-то план-сетка со множеством заполненных ручкой граф"
311,В настенной сетке лежали его Персональные Айтемы.
312,уже утомить — она напоминала железную сетку тюремной кровати из фильмов про
313,Вместо него в сетке теперь лежал лев с коричневой
314,"территории вокруг коттеджа, обнесенной металлической сеткой."
315,"окружен прорванной в двух местах сеткой, легкий запашок коровьего навоза вплетался"
316,глазами в знакомой наизусть поэтажной сетке номеров прыгали и плыли пустые
317,"Прямоугольная сетка йорданских улочек, повернутая под углом"
318,в результате получить простую прямоугольную сетку.
319,"Маша неумело перебрасывает через сетку мячики, а стоящий по другую"
320,а стоящий по другую сторону сетки Дефорж пытается их отбить.
321,"Это проявлялось лишь в черной сетке подкожных сосудов, проступавших сквозь бледность"
322,"как глухонемой, помотал апельсинами в сетке."
323,"Сетка кровати проваливалась, скрипела, одна пружина"
324,"С бутылкой водки, с сеткой папирос для него же."
325,"засунутой в карман пальто, и сеткой папирос на коленях."
326,С банкой домашнего лечо в сетке — отбиться от Кати просто не
327,"С банкой в сетке, как с килой, с шумом"
328,"Вместо ответа, подал ей сетку с банкой:"
329,"пассажиров, которые с сумками и сетками судорожно залезали в отходящий, — последний"
330,"Обложенный сумками, сетками, Константин Иванович болтался в полупустом"
331,возможность расчетов динамических моделей на сетках порядка миллиарда активных ячеек и
332,крупнейших западносибирских месторождений на геологической сетке.
333,"Модификатором и стабилизатором сетки служат сурьма, галлий, висмут и"
334,из-за москитов — не помогали никакие сетки.
335,ли у нас надежная страховочная сетка?
336,"себя участки, набрасывает на него сетки своих координат, наделяет его нужными"
337,"козырьками бейсболом, словно продавила собой сетку сурового советского благолепия, и ограничить"
338,совпасть с началом новой телевизионной сетки.
339,"А Курехин ни к каким сеткам отношения не имел, он строил"
340,На панцирную сетку он высыпал свои личные вещи
341,"стал перестилать матрас на панцирную сетку, предварительно смахнув с нее свои"
342,"очереди желающих сдать кровь, с сетками апельсинов."
343,"В окошечке сетка, а за сеткой я говорю."
344,"В окошечке сетка, а за сеткой я говорю."
345,и снова стал карабкаться по сетке.
346,его бутс и угодил в сетку.
347,"Он напрыгивал на сетку, вскарабкивался до верха, но потом"
348,"Была ли там, наверху, тоже сетка?"
349,"лампочка, осветила множество вещей: большую сетку под потолком с остриженной овчинной"
350,"столба, поддерживающего рванную и провисшую сетку."
351,"а потом задевает головой за сетку, сгибается пополам, падает и катится"
352,"она, точка равновесия, где над сеткой в рыжих сосновых ветвях завис"
353,Тускло светит лампочка сквозь сетку неработающего лифта.
354,"какой-то зеленоватой мутью, накрытой желтой сеткой ломаных линий."
355,сам уселся на голую проволочную сетку.
356,от суеты дня у затянутого сеткой окна во двор.
357,"на горизонтальное «должен (должна)», образуется сетка-клетка."
358,"шла на меня ночная свежесть, сетка не пропускала никого лишнего кусачего"
359,и переливают время в эфирную сетку
360,"это, к сожалению, влияет на сетку каналов, они выхолащиваются, становятся проще."
361,само диктует и отражается в сетках каналов.
362,Наблюдательная вышка была защищена высокой сеткой из колючей проволоки.
363,на железной кровати с панцирной сеткой и тронутыми ржавчиной латунными шишечками
364,"будет поставить летние рамы с сеткой и дверь занавесить тюлем, что"
365,"Блин, забыл купить сетку на окна…"
366,Я поставлю завтра сетку на раму.
367,"У Ваньки должна остаться еще сетка, — соврал он, — я видел."
368,И вот что… у тебя сетки нет?
369,Ну так нету у меня сетки.
370,"же были тоньше, чем матрас, сетка врезалась в тело, легонькой Джульке"
371,"дно, на виднеющееся донышко наношу сеткой надрезы — не сквозные, а как"
372,"лист, сохранивший лишь тонкую частую сетку прожилок, на которых когда-то держалась"
373,"Сетка на губах старика двигалась, как"
374,"Возьмем сетку вещания, посмотрим программы, которые предшествовали"
375,"насытят и сами, под спудом сеток-сумок согнувшись, еле домой волокутся"
376,композиция четко организована овально-ромбической сеткой — важной составляющей стиля Борре.
377,также идеально соответствует овально-ромбической сетке.
378,и характерная для него ромбическая сетка.
379,"не должно быть ничего, кроме сетки, так же, как под черепной"
380,"первый взгляд, птиц прорисовывалось по сетке (сделанной заранее мелкой, по квадратикам"
381,"и шифон, и шелк, и сетка настолько плотно вышиты «тяжелыми» материалами"
382,"До своего дома, огороженного сталистой сеткой, оставалось пройти вот этот соседский"
383,Зачем отец поменял на сетку?
384,Зачем на сетку поменяли?
385,"Весь двор через эту проклятую сетку видно, все соседи пялятся."
386,"Ну, и когда эта сетка проклятая начнется?»"
387,"два грунтовых корта, огороженных железной сеткой."
388,"вершину горы «лифта» из прочных сеток, столбы света сквозь дыры в"
389,"Впереди, в огромной дали, есть сетка с крупными ячейками, метра два"
390,"Если я зацеплюсь за сетку, она прогнётся под моей тяжестью"
391,"бельевая верёвка, служащая детворе волейбольной сеткой и снимаемая во время приезда"
